surrogate_key_captura_apontamento_horas,data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
1716,10/01/2023,567,M1,101,75,5,HE,5.79,2,148.15
1717,24/01/2023,855,M1,37,43,5,HE,6.18,5,133.15
1718,21/01/2023,474,F2,19,84,7,HN,5.13,3,114.84
1719,01/01/2023,848,F2,111,41,7,HE,2.44,2,113.76
1720,29/01/2023,879,F2,175,96,6,HE,7.43,1,36.19
1721,07/01/2023,880,F2,210,19,7,HE,1.6,2,147.24
1722,03/01/2023,602,F3,216,39,5,HE,7.68,5,92.61
1723,16/01/2023,165,F3,24,55,1,HN,2.15,4,53.41
1724,02/01/2023,252,F3,149,30,7,HE,4.14,5,112.32
1725,15/01/2023,336,F2,23,75,3,HN,6.58,2,134.02
1726,07/01/2023,858,F2,238,65,2,HN,6.65,3,25.11
1727,24/01/2023,853,M1,126,32,3,HN,4.81,4,83.44
1728,23/01/2023,143,F3,208,60,3,HN,3.63,4,48.06
1729,16/01/2023,719,F3,147,69,6,HN,4.69,3,100.92
1730,14/01/2023,280,F3,103,9,4,HN,4.9,3,116.72
1731,16/01/2023,340,F3,152,3,3,HN,4.42,4,142.96
1732,04/01/2023,222,M1,231,55,5,HE,6.01,2,141.13
1733,15/01/2023,231,F3,13,95,4,HE,2.79,1,93.1
1734,06/01/2023,799,F2,127,3,7,HE,5.08,2,85.78
1735,14/01/2023,788,M1,138,47,2,HN,7.26,1,33.27
1736,24/01/2023,311,F2,182,99,4,HN,4.1,5,107.43
1737,02/01/2023,890,F3,33,52,6,HE,1.26,2,31.07
1738,09/01/2023,215,F2,218,41,6,HE,4.02,2,12.84
1739,22/01/2023,382,M1,118,19,3,HE,7.28,1,65.09
1740,27/01/2023,90,M1,59,94,4,HE,5.13,4,110.01
1741,17/01/2023,287,F3,51,57,3,HN,3.69,4,111.54
1742,06/01/2023,199,F3,82,67,6,HE,5.38,3,14.18
1743,16/01/2023,155,F3,2,39,6,HN,3.11,4,81.14
1744,30/01/2023,704,F3,183,74,6,HE,5.45,1,48.16
1745,22/01/2023,409,F2,151,66,1,HN,2.4,5,144.16
1746,12/01/2023,887,F3,62,17,2,HE,1.82,4,106.4
1747,04/01/2023,852,F2,201,31,1,HN,6.9,2,13.51
1748,20/01/2023,226,F2,41,65,1,HE,1.27,4,144.17
1749,08/01/2023,291,M1,98,77,2,HN,4.13,3,124.18
1750,06/01/2023,939,M1,225,74,1,HE,2.74,2,62.83
1751,15/01/2023,423,F3,186,32,3,HE,1.73,5,26.77
1752,25/01/2023,874,F2,220,13,3,HE,4.16,3,34.38
1753,22/01/2023,832,M1,29,93,4,HN,3.1,1,102.55
1754,08/01/2023,421,M1,245,27,7,HE,4.53,2,40.0
1755,03/01/2023,777,M1,70,93,7,HE,3.99,4,94.41
1756,18/01/2023,306,F3,250,18,3,HE,1.95,5,146.04
1757,01/01/2023,336,F2,63,41,2,HN,7.67,3,139.23
1758,23/01/2023,520,F3,106,46,6,HE,6.01,3,54.89
1759,17/01/2023,43,F2,164,55,5,HN,3.99,3,119.64
1760,10/01/2023,794,F3,6,37,4,HN,7.95,2,114.41
1761,29/01/2023,631,M1,23,13,4,HE,3.33,1,94.67
1762,12/01/2023,418,F3,232,7,4,HN,4.72,4,146.56
1763,05/01/2023,186,F2,126,63,5,HE,4.2,5,47.51
1764,06/01/2023,427,F3,148,47,3,HN,4.86,5,137.21
1765,30/01/2023,61,F2,167,71,2,HN,4.84,4,42.26
1766,10/01/2023,294,M1,177,46,4,HN,7.6,2,73.22
1767,15/01/2023,410,F3,90,74,7,HE,4.73,1,42.64
1768,18/01/2023,75,F3,57,97,7,HN,7.66,4,73.21
1769,09/01/2023,192,F2,198,41,4,HN,2.52,4,132.32
1770,26/01/2023,641,F3,70,75,5,HE,6.4,1,126.01
1771,02/01/2023,654,M1,55,16,7,HN,1.87,5,127.6
1772,19/01/2023,634,M1,48,62,6,HE,4.69,3,8.46
1773,19/01/2023,676,F2,134,6,6,HE,3.09,5,61.02
1774,19/01/2023,405,F3,85,93,2,HE,3.5,3,118.52
1775,26/01/2023,547,F2,85,30,7,HN,5.05,1,63.68
1776,08/01/2023,498,F3,148,59,3,HE,5.65,2,47.94
1777,07/01/2023,440,M1,9,93,5,HN,3.43,5,63.02
1778,24/01/2023,1,F2,229,57,2,HN,2.33,4,146.93
1779,09/01/2023,544,M1,140,19,4,HE,3.42,3,114.82
1780,13/01/2023,377,M1,21,51,5,HE,3.62,2,22.1
1781,05/01/2023,779,F2,221,46,7,HN,3.39,1,77.7
1782,28/01/2023,323,F2,31,66,4,HE,5.52,5,25.3
1783,04/01/2023,88,F2,246,34,4,HN,3.75,3,74.33
1784,20/01/2023,253,F2,219,64,1,HE,6.6,5,120.49
1785,13/01/2023,74,F2,132,40,3,HE,6.74,3,87.1
1786,22/01/2023,111,F2,102,98,1,HE,2.6,2,137.39
1787,27/01/2023,296,F2,173,100,2,HN,4.29,5,136.57
1788,18/01/2023,835,F2,70,54,7,HE,4.45,3,147.61
1789,07/01/2023,585,M1,181,21,7,HE,1.11,4,148.81
1790,10/01/2023,520,F2,107,52,5,HE,4.0,4,62.33
1791,05/01/2023,696,F3,14,49,3,HN,7.11,3,38.48
1792,21/01/2023,54,M1,125,29,7,HE,2.81,2,59.51
1793,30/01/2023,380,M1,97,97,1,HE,3.37,1,40.94
1794,20/01/2023,679,F3,214,100,7,HE,7.24,4,4.62
1795,15/01/2023,269,F3,58,94,4,HE,4.81,1,12.0
1796,18/01/2023,156,F2,70,43,1,HE,3.92,2,85.62
1797,23/01/2023,815,F3,177,42,2,HE,5.05,5,61.67
1798,19/01/2023,499,F2,158,20,2,HE,1.31,1,101.53
1799,02/01/2023,98,M1,161,82,1,HE,5.57,1,49.14
1800,22/01/2023,610,M1,85,9,3,HN,5.06,3,11.9
1801,01/01/2023,302,M1,61,100,3,HE,1.67,5,66.18
1802,12/01/2023,137,F2,219,9,7,HN,4.49,2,104.59
1803,13/01/2023,320,F3,146,97,1,HN,7.1,2,69.69
1804,09/01/2023,182,M1,3,96,4,HE,4.3,2,107.11
1805,23/01/2023,173,F3,94,73,1,HN,3.53,2,24.5
1806,21/01/2023,288,M1,217,87,3,HN,1.13,2,24.13
1807,21/01/2023,849,M1,42,39,4,HE,7.72,3,12.74
1808,05/01/2023,782,F2,45,25,7,HE,5.09,5,76.42
1809,09/01/2023,613,M1,59,4,5,HN,2.1,1,136.6
1810,21/01/2023,564,F2,116,33,2,HN,2.16,3,82.37
1811,19/01/2023,371,F2,30,46,7,HE,7.55,5,103.49
1812,28/01/2023,259,F2,140,17,2,HN,7.61,1,80.6
1813,08/01/2023,862,F3,49,47,4,HE,7.86,3,126.22
1814,27/01/2023,410,M1,27,7,4,HN,2.97,2,95.52
1815,28/01/2023,416,F3,19,46,1,HN,1.45,1,102.31
1816,22/01/2023,108,F2,74,55,1,HN,5.89,5,88.48
1817,09/01/2023,559,F2,65,65,5,HE,2.82,2,40.69
1818,30/01/2023,40,F2,124,87,3,HN,2.57,4,81.02
1819,16/01/2023,84,F3,175,38,1,HN,3.35,3,62.83
1820,28/01/2023,882,M1,93,31,3,HN,2.77,4,3.13
1821,15/01/2023,404,F2,62,89,2,HN,1.79,3,51.16
1822,29/01/2023,390,M1,57,62,6,HN,5.1,5,105.18
1823,05/01/2023,725,F2,17,67,6,HN,4.78,3,122.93
1824,22/01/2023,711,F3,189,96,3,HN,6.34,5,101.59
1825,08/01/2023,922,F2,84,7,4,HE,3.42,2,96.73
1826,28/01/2023,615,F3,16,27,3,HE,1.91,2,141.98
1827,29/01/2023,658,F2,188,19,6,HN,6.56,2,75.03
1828,22/01/2023,190,M1,32,97,3,HE,2.91,3,101.34
1829,20/01/2023,281,F3,80,86,1,HN,6.73,1,18.05
1830,25/01/2023,315,F2,174,24,5,HN,1.3,2,123.71
1831,06/01/2023,361,M1,248,19,7,HE,6.33,1,15.81
1832,11/01/2023,150,M1,177,87,1,HN,4.65,2,86.81
1833,30/01/2023,358,F3,142,39,4,HE,5.62,3,78.32
1834,21/01/2023,797,F2,87,92,7,HN,3.09,5,26.92
1835,14/01/2023,47,M1,113,28,3,HN,4.5,1,45.36
1836,03/01/2023,37,F2,7,90,6,HN,7.1,4,128.62
1837,30/01/2023,927,M1,39,23,7,HN,6.89,3,120.93
1838,28/01/2023,862,M1,120,15,7,HE,3.72,2,74.31
1839,14/01/2023,572,F3,95,68,2,HN,2.7,4,145.86
1840,01/01/2023,716,F3,67,8,1,HE,2.89,3,102.54
1841,14/01/2023,599,F3,226,78,3,HN,2.63,4,78.13
1842,09/01/2023,846,F2,232,55,5,HN,7.37,5,115.91
1843,29/01/2023,91,M1,227,84,6,HN,7.99,5,86.38
1844,07/01/2023,10,M1,194,76,7,HN,5.49,3,133.78
1845,12/01/2023,384,M1,3,12,1,HN,3.74,3,18.56
1846,15/01/2023,380,M1,19,87,4,HE,7.5,4,37.19
1847,13/01/2023,338,M1,231,17,6,HE,6.19,1,42.48
1848,05/01/2023,105,F2,48,76,2,HN,4.62,2,138.32
1849,24/01/2023,257,F2,6,43,3,HE,1.37,2,111.18
1850,21/01/2023,214,F2,250,9,3,HE,3.58,3,45.45
1851,01/01/2023,27,F3,137,58,5,HE,6.44,5,58.39
1852,09/01/2023,428,F2,224,2,7,HE,1.35,5,39.07
1853,08/01/2023,869,M1,153,38,3,HE,6.73,2,115.91
1854,14/01/2023,845,F3,200,100,1,HN,2.57,3,103.03
1855,20/01/2023,426,F3,102,55,2,HE,5.94,3,59.83
1856,30/01/2023,68,F2,223,81,6,HN,7.55,1,141.73
1857,07/01/2023,67,F3,101,65,4,HN,7.05,3,42.08
1858,13/01/2023,326,M1,234,54,4,HE,5.71,5,133.79
1859,21/01/2023,818,F2,73,84,4,HN,4.5,5,97.47
1860,12/01/2023,541,M1,39,69,6,HE,4.22,3,110.35
1861,02/01/2023,76,M1,72,18,4,HN,4.25,3,56.72
1862,16/01/2023,10,F2,180,78,3,HN,6.83,5,53.45
1863,23/01/2023,450,F2,8,63,3,HN,2.12,2,113.14
1864,23/01/2023,748,M1,182,43,3,HE,7.26,4,14.31
1865,25/01/2023,798,F2,223,47,2,HN,7.45,2,79.2
1866,15/01/2023,849,M1,57,84,3,HN,6.76,3,107.86
1867,21/01/2023,76,F3,244,76,4,HE,2.93,5,59.99
1868,28/01/2023,551,F3,125,27,4,HN,7.59,1,140.06
1869,11/01/2023,775,F3,98,88,5,HE,6.6,5,27.73
1870,03/01/2023,319,F3,5,51,2,HE,2.81,2,19.89
1871,23/01/2023,870,F2,178,91,7,HN,6.43,1,34.14
1872,27/01/2023,133,F2,72,50,2,HE,4.03,2,140.55
1873,20/01/2023,919,M1,140,18,7,HN,7.53,1,90.86
1874,12/01/2023,421,F3,16,55,6,HN,7.31,4,149.59
1875,18/01/2023,646,M1,97,48,5,HN,5.3,3,40.58
1876,27/01/2023,927,M1,55,92,3,HN,3.19,1,101.33
1877,09/01/2023,189,F3,121,58,1,HE,4.6,1,31.62
1878,20/01/2023,277,F2,123,89,5,HE,2.23,4,98.26
1879,10/01/2023,838,F2,190,60,7,HN,1.33,3,101.85
1880,03/01/2023,746,M1,184,55,3,HE,7.18,4,9.04
1881,12/01/2023,329,F2,141,98,5,HE,4.86,3,111.06
1882,30/01/2023,85,F3,246,70,7,HE,5.07,4,73.65
1883,22/01/2023,220,M1,100,75,1,HE,6.16,4,134.46
1884,15/01/2023,897,M1,103,45,5,HN,1.02,1,134.42
1885,02/01/2023,625,F3,19,92,4,HN,2.01,5,109.66
1886,07/01/2023,479,F3,168,100,7,HN,3.03,3,120.58
1887,28/01/2023,91,F2,105,53,3,HN,4.1,4,38.58
1888,24/01/2023,447,F3,83,19,1,HN,4.62,5,104.77
1889,20/01/2023,548,F2,44,69,7,HN,7.43,5,31.97
1890,04/01/2023,50,M1,156,68,2,HN,6.48,4,20.08
1891,10/01/2023,164,M1,235,10,2,HE,3.79,5,112.33
1892,01/01/2023,372,F3,200,82,3,HN,3.07,5,137.81
1893,09/01/2023,918,M1,171,2,4,HN,5.19,5,33.47
1894,09/01/2023,587,M1,3,40,1,HE,7.05,4,108.25
1895,20/01/2023,383,F3,57,85,5,HN,7.22,2,57.95
1896,30/01/2023,779,F2,99,75,4,HN,4.52,3,126.86
1897,17/01/2023,45,M1,69,48,7,HE,4.24,2,136.51
1898,24/01/2023,858,F3,40,92,5,HN,6.85,4,99.97
1899,06/01/2023,928,F2,163,71,1,HE,2.78,3,51.37
1900,14/01/2023,882,F2,111,70,1,HE,7.56,4,87.52
1901,20/01/2023,291,M1,38,2,7,HN,1.09,1,42.92
1902,18/01/2023,432,M1,169,79,1,HE,6.71,3,105.77
1903,04/01/2023,293,F3,130,81,7,HN,2.81,3,93.74
1904,27/01/2023,598,F2,149,61,6,HN,2.46,4,133.84
1905,10/01/2023,749,F2,6,86,3,HN,3.81,2,138.48
1906,12/01/2023,750,M1,120,58,2,HN,3.24,5,32.57
1907,19/01/2023,600,F2,20,63,7,HN,4.57,2,20.05
1908,23/01/2023,126,F3,121,8,6,HE,1.2,4,22.86
1909,24/01/2023,442,F3,134,17,2,HN,6.73,5,88.38
1910,16/01/2023,722,F2,121,80,6,HN,7.75,1,101.48
1911,29/01/2023,150,M1,110,77,7,HN,6.41,5,107.77
1912,07/01/2023,704,M1,169,96,7,HN,5.75,4,147.06
1913,17/01/2023,127,F2,146,82,2,HN,6.34,4,20.46
1914,13/01/2023,36,M1,116,61,3,HN,2.08,1,143.71
1915,06/01/2023,500,F2,185,74,4,HN,5.98,4,105.83
1916,06/01/2023,713,M1,14,70,3,HN,4.53,1,103.3
1917,22/01/2023,921,F3,77,30,4,HN,7.79,4,6.93
1918,02/01/2023,523,M1,143,100,4,HN,3.75,2,64.24
1919,13/01/2023,445,F2,142,20,1,HE,3.19,2,113.93
1920,23/01/2023,29,F3,203,28,1,HE,5.91,1,125.78
1921,16/01/2023,211,M1,171,58,3,HN,5.39,4,138.68
1922,06/01/2023,130,M1,52,95,6,HE,5.49,3,48.87
1923,23/01/2023,773,F2,178,87,6,HE,3.92,4,148.49
1924,10/01/2023,332,F3,21,34,7,HE,2.97,1,129.44
1925,06/01/2023,153,F2,26,70,7,HN,6.54,1,83.92
1926,06/01/2023,145,F3,151,81,4,HE,7.69,5,114.82
1927,05/01/2023,254,F2,161,73,1,HE,5.7,2,146.04
1928,01/01/2023,314,F2,233,67,1,HN,1.56,1,68.89
1929,28/01/2023,95,F2,61,32,5,HE,5.97,2,129.03
1930,21/01/2023,772,F3,179,97,7,HE,3.73,4,2.41
1931,23/01/2023,839,F3,27,29,4,HE,3.32,1,104.46
1932,16/01/2023,763,F3,212,6,7,HE,6.58,5,123.46
1933,01/01/2023,331,M1,7,36,6,HE,7.56,3,100.45
1934,05/01/2023,505,F2,15,82,2,HN,5.24,5,8.83
1935,08/01/2023,190,F2,115,52,4,HE,3.82,4,2.08
1936,18/01/2023,586,F3,117,16,3,HE,1.92,3,80.38
1937,13/01/2023,742,F3,185,41,7,HE,6.4,2,27.1
1938,14/01/2023,395,F2,248,59,7,HE,5.82,5,77.33
1939,25/01/2023,500,F2,167,36,6,HE,5.58,1,30.39
1940,15/01/2023,798,F2,141,53,4,HE,7.23,2,104.89
1941,26/01/2023,933,M1,205,82,1,HE,3.21,1,32.84
1942,07/01/2023,335,F2,182,56,3,HE,2.34,5,51.02
1943,25/01/2023,551,M1,193,66,7,HN,5.15,5,125.07
1944,08/01/2023,132,F3,224,20,3,HN,1.59,4,53.26
1945,27/01/2023,419,M1,153,100,7,HN,2.33,1,57.3
1946,10/01/2023,225,F3,141,23,6,HN,5.3,1,69.37
1947,13/01/2023,426,F3,214,17,2,HN,5.59,5,133.94
1948,09/01/2023,73,F3,220,30,4,HN,5.37,3,103.31
1949,23/01/2023,323,F2,54,31,7,HN,6.12,1,116.57
1950,10/01/2023,675,F3,66,2,5,HN,4.28,1,30.66
1951,17/01/2023,506,F2,44,78,2,HN,7.4,3,64.27
1952,29/01/2023,745,F2,140,40,6,HE,1.67,3,128.78
1953,27/01/2023,326,F3,244,97,5,HN,2.49,2,112.69
1954,24/01/2023,353,F2,39,70,4,HE,2.33,2,48.66
1955,02/01/2023,123,F2,161,37,2,HE,5.63,2,91.6
1956,21/01/2023,607,F3,192,11,2,HE,5.17,1,125.7
1957,21/01/2023,622,F3,183,39,3,HN,2.26,4,37.32
1958,20/01/2023,334,F3,166,52,2,HE,6.34,4,44.42
1959,18/01/2023,72,M1,184,87,5,HN,4.6,2,142.07
1960,11/01/2023,628,M1,175,15,3,HN,5.64,2,88.94
1961,03/01/2023,591,F3,224,78,7,HE,7.55,2,39.63
1962,23/01/2023,92,F2,3,81,2,HE,7.14,1,97.34
1963,10/01/2023,255,F3,3,56,4,HE,1.14,4,149.36
1964,09/01/2023,643,F2,249,80,6,HN,3.98,4,9.31
1965,08/01/2023,455,M1,144,31,2,HE,2.35,5,149.91
1966,08/01/2023,705,F3,39,11,3,HE,5.47,2,149.28
1967,11/01/2023,281,M1,55,30,1,HN,1.05,1,96.34
1968,13/01/2023,25,F2,73,48,5,HE,1.36,4,131.2
1969,16/01/2023,59,F2,205,2,7,HN,5.39,4,94.82
1970,07/01/2023,533,M1,78,28,7,HE,7.09,4,19.82
1971,21/01/2023,607,M1,225,38,5,HN,1.64,5,22.98
1972,22/01/2023,321,F2,99,25,4,HE,5.59,1,145.88
1973,19/01/2023,29,F2,121,78,2,HN,2.11,1,36.74
1974,27/01/2023,541,F3,168,69,5,HE,6.8,3,63.94
1975,06/01/2023,896,F2,207,41,4,HN,3.37,5,46.7
1976,11/01/2023,367,F2,47,67,4,HE,7.94,2,3.57
1977,18/01/2023,880,F3,36,60,6,HN,4.97,1,53.7
1978,03/01/2023,43,M1,25,60,6,HE,6.71,1,14.37
1979,28/01/2023,889,M1,99,87,4,HN,6.99,3,10.67
1980,18/01/2023,927,F3,35,11,6,HE,5.04,3,22.72
1981,08/01/2023,76,F3,179,21,6,HE,3.23,1,69.13
1982,18/01/2023,726,F2,240,74,3,HN,4.24,3,54.64
1983,12/01/2023,563,M1,192,9,6,HE,5.4,3,18.13
1984,17/01/2023,91,M1,123,100,1,HE,6.03,2,5.1
1985,22/01/2023,195,M1,54,51,5,HE,6.12,5,35.69
1986,15/01/2023,39,F2,55,55,6,HN,7.22,4,83.96
1987,17/01/2023,585,F3,32,37,5,HN,3.51,3,131.6
1988,30/01/2023,53,F3,37,85,5,HE,7.88,4,134.37
1989,11/01/2023,680,F3,37,100,4,HE,3.27,4,97.99
1990,17/01/2023,219,F3,89,73,7,HE,3.26,5,118.02
1991,18/01/2023,763,F2,159,71,5,HE,5.87,2,70.15
1992,06/01/2023,882,F2,79,34,7,HN,6.82,4,124.55
1993,24/01/2023,583,F3,175,57,4,HE,1.38,5,68.92
1994,07/01/2023,48,M1,111,61,6,HE,2.69,1,142.81
1995,15/01/2023,315,F2,191,54,6,HN,5.05,2,43.47
1996,14/01/2023,909,F2,156,51,2,HN,2.34,5,54.67
1997,10/01/2023,850,F2,244,68,7,HN,4.38,5,78.48
1998,29/01/2023,477,M1,229,56,1,HN,5.01,2,68.31
1999,04/01/2023,425,F2,232,94,6,HN,7.86,4,86.35
2000,26/01/2023,555,M1,38,45,2,HE,3.79,4,84.56
2001,07/01/2023,723,F2,231,68,7,HE,7.19,2,21.27
2002,14/01/2023,286,F2,171,22,7,HN,1.81,5,78.27
2003,05/01/2023,512,F3,164,44,5,HE,4.76,3,42.77
2004,09/01/2023,109,M1,1,37,2,HE,1.35,2,117.78
2005,11/01/2023,41,M1,210,58,4,HN,4.17,3,43.0
2006,17/01/2023,252,F2,8,30,4,HN,4.46,4,64.53
2007,19/01/2023,203,F2,42,61,7,HE,2.07,2,95.02
2008,25/01/2023,560,F2,114,95,4,HE,7.56,5,33.4
2009,20/01/2023,859,F2,172,37,7,HE,7.65,1,125.39
2010,23/01/2023,309,F3,10,82,1,HE,5.48,1,102.76
2011,02/01/2023,792,F3,86,37,4,HN,4.01,1,83.13
2012,28/01/2023,947,F3,147,68,1,HN,2.86,5,91.25
2013,25/01/2023,871,M1,135,94,3,HN,6.03,2,9.09
2014,01/01/2023,637,F3,181,3,2,HN,1.64,3,90.59
2015,05/01/2023,792,F3,75,15,3,HE,2.16,5,48.15
2016,15/01/2023,51,F2,69,94,6,HE,2.94,4,120.38
2017,25/01/2023,629,M1,210,63,3,HE,1.1,1,118.32
2018,24/01/2023,673,F3,52,90,1,HN,2.71,5,8.91
2019,21/01/2023,533,F2,199,18,2,HN,6.86,5,94.9
2020,14/01/2023,589,M1,63,3,4,HE,7.08,2,27.75
2021,03/01/2023,25,M1,207,66,3,HN,6.59,3,120.49
2022,06/01/2023,462,F2,232,76,1,HE,1.02,1,120.69
2023,22/01/2023,515,M1,238,90,2,HN,6.83,4,88.72
2024,24/01/2023,717,M1,26,98,5,HN,2.89,5,34.59
2025,23/01/2023,204,F2,213,30,7,HE,7.74,5,47.1
2026,10/01/2023,328,F2,127,96,5,HN,7.5,5,60.76
2027,08/01/2023,528,F3,111,92,2,HN,1.23,4,80.91
2028,04/01/2023,295,M1,90,31,1,HE,4.42,1,32.74
2029,03/01/2023,943,F3,17,45,5,HE,2.43,3,92.49
2030,11/01/2023,617,F2,181,31,1,HE,1.74,2,117.02
2031,03/01/2023,506,M1,163,7,3,HN,4.96,5,67.61
2032,27/01/2023,368,F2,235,96,3,HN,3.47,5,23.82
2033,18/01/2023,168,M1,247,92,4,HE,2.33,4,45.46
2034,08/01/2023,743,M1,149,61,6,HN,7.56,4,11.94
2035,23/01/2023,719,F3,102,30,1,HN,3.27,3,143.22
2036,07/01/2023,629,M1,208,62,6,HE,2.36,3,54.72
2037,05/01/2023,693,F3,107,49,7,HN,5.74,4,47.6
2038,05/01/2023,455,M1,248,10,7,HN,3.74,1,127.27
2039,23/01/2023,569,M1,24,61,2,HN,1.07,1,104.48
2040,29/01/2023,700,F3,222,19,7,HE,5.02,4,3.73
2041,29/01/2023,455,M1,9,43,3,HE,7.04,2,127.73
2042,14/01/2023,755,F3,89,85,4,HE,6.86,4,65.61
2043,18/01/2023,573,F3,91,59,2,HN,1.28,2,71.75
2044,14/01/2023,240,F3,157,19,2,HE,5.26,4,8.8
2045,28/01/2023,664,F2,202,13,5,HE,6.31,2,48.16
2046,04/01/2023,359,F3,164,65,5,HN,6.36,3,52.71
2047,15/01/2023,336,F3,153,5,4,HE,1.86,2,120.72
2048,21/01/2023,81,M1,146,21,3,HN,7.05,3,56.13
2049,03/01/2023,167,M1,78,37,1,HE,1.17,1,63.68
2050,23/01/2023,121,F2,224,34,4,HN,5.69,4,54.32
2051,04/01/2023,113,F2,126,32,3,HN,5.13,4,96.91
2052,13/01/2023,830,M1,242,45,3,HN,4.16,1,131.22
2053,28/01/2023,580,F3,83,90,5,HE,4.47,4,73.2
2054,17/01/2023,748,F2,125,80,1,HN,6.41,3,100.22
2055,01/01/2023,404,F3,125,77,7,HN,6.72,4,114.56
2056,01/01/2023,730,F2,48,93,4,HN,1.12,5,74.98
2057,07/01/2023,559,M1,7,21,2,HE,6.08,3,7.59
2058,14/01/2023,853,M1,106,95,5,HN,4.33,3,39.78
2059,14/01/2023,650,F3,121,10,4,HN,6.9,4,77.59
2060,01/01/2023,657,F3,85,60,6,HE,3.85,5,129.79
2061,27/01/2023,891,F2,175,66,3,HE,3.77,4,102.91
2062,23/01/2023,884,M1,91,33,3,HE,6.58,4,37.57
2063,30/01/2023,569,M1,123,83,6,HE,5.61,1,59.18
2064,12/01/2023,75,F3,166,23,2,HN,1.8,5,115.21
2065,28/01/2023,32,F3,54,18,3,HN,2.43,1,39.39
2066,12/01/2023,338,F3,75,13,4,HE,2.74,3,9.34
2067,01/01/2023,528,M1,189,78,4,HN,3.53,5,21.59
2068,19/01/2023,745,F2,53,17,5,HE,1.78,5,85.21
2069,08/01/2023,328,M1,130,21,7,HE,6.74,1,94.16
2070,11/01/2023,798,F2,105,24,1,HE,4.24,5,47.53
2071,13/01/2023,68,F3,55,2,5,HE,5.78,4,48.1
2072,25/01/2023,2,F2,57,92,6,HN,7.0,5,105.13
2073,30/01/2023,9,F3,231,7,6,HN,2.43,4,138.85
2074,02/01/2023,491,F2,192,88,3,HE,2.54,4,30.61
2075,05/01/2023,364,M1,3,4,5,HE,6.95,5,45.99
2076,25/01/2023,539,F3,63,30,5,HE,5.15,1,8.32
2077,08/01/2023,390,F3,130,67,2,HN,7.73,4,95.35
2078,26/01/2023,206,M1,69,35,3,HE,6.23,4,8.81
2079,23/01/2023,519,M1,44,39,4,HE,3.36,3,47.4
2080,22/01/2023,860,F2,118,67,3,HN,3.19,1,136.66
2081,02/01/2023,357,M1,203,79,1,HN,1.06,3,20.81
2082,11/01/2023,483,M1,192,4,2,HE,2.19,1,2.18
2083,24/01/2023,90,F3,180,64,1,HN,2.3,2,145.14
2084,25/01/2023,808,M1,54,94,2,HE,7.49,5,21.57
2085,10/01/2023,204,F2,84,84,1,HN,1.47,5,64.08
2086,22/01/2023,101,F3,150,87,3,HE,3.56,5,65.9
2087,22/01/2023,866,F2,52,15,1,HE,2.3,4,131.09
2088,28/01/2023,787,F3,70,16,3,HE,7.8,4,50.69
2089,09/01/2023,836,F3,68,66,5,HE,4.17,4,44.04
2090,06/01/2023,235,F3,147,65,3,HN,7.44,3,15.34
2091,22/01/2023,349,M1,247,38,4,HE,2.14,1,74.26
2092,03/01/2023,493,F3,128,50,5,HE,2.21,5,116.07
2093,03/01/2023,891,F2,159,13,4,HN,3.13,4,133.77
2094,01/01/2023,403,M1,132,87,4,HN,6.29,4,65.21
2095,11/01/2023,872,F2,205,55,3,HN,1.42,4,46.86
2096,30/01/2023,762,M1,242,19,5,HN,6.61,4,111.94
2097,19/01/2023,784,F2,148,20,1,HN,7.57,4,62.03
2098,16/01/2023,574,F3,94,45,4,HE,1.8,1,32.48
2099,09/01/2023,130,F2,101,44,5,HN,5.35,2,63.42
2100,16/01/2023,538,F3,204,80,3,HE,6.17,3,99.25
2101,16/01/2023,317,F3,62,29,2,HE,2.09,1,110.8
2102,08/01/2023,764,M1,4,76,6,HE,7.89,5,55.74
2103,12/01/2023,659,F2,140,12,7,HN,2.26,2,89.79
2104,18/01/2023,882,M1,117,5,6,HE,4.85,4,3.16
2105,13/01/2023,392,F2,249,83,3,HN,6.0,5,148.14
2106,25/01/2023,917,M1,204,93,1,HE,7.59,1,27.18
2107,25/01/2023,273,F2,119,92,7,HN,6.56,2,141.85
2108,03/01/2023,260,F2,195,62,3,HN,7.57,4,15.12
2109,01/01/2023,744,F3,247,91,5,HN,3.79,4,30.48
2110,09/01/2023,685,F3,26,56,5,HE,4.03,5,114.37
2111,20/01/2023,371,F2,8,64,1,HN,4.9,3,54.32
2112,24/01/2023,608,M1,70,94,6,HN,5.0,5,50.84
2113,29/01/2023,135,F2,238,82,3,HE,5.39,2,56.86
2114,17/01/2023,587,F3,44,54,7,HN,7.65,5,92.92
2115,11/01/2023,196,M1,38,72,6,HE,5.1,3,93.72
2116,09/01/2023,629,M1,87,62,4,HN,5.9,4,41.73
2117,09/01/2023,314,M1,13,18,3,HE,6.51,4,62.17
2118,21/01/2023,391,F3,188,93,6,HN,1.57,2,88.68
2119,20/01/2023,291,F2,103,17,4,HN,7.58,5,125.46
2120,21/01/2023,576,F2,6,23,1,HE,6.63,2,97.39
2121,19/01/2023,678,F3,34,44,5,HN,3.75,5,100.62
2122,22/01/2023,611,F2,192,61,6,HE,7.6,2,30.2
